time="2024-01-30 14:04:17" level=info Agent= Hostname=LAPTOP-FH0DMLT2 Ip=127.0.0.1 Method=GET datasize=0 path=/ws/sensor spendtime="16062 ms" status=200
time="2024-01-30 17:29:30" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=4894 path="/api/v1/data/getBySN?sn=NIMA" spendtime="1 ms" status=200
time="2024-01-30 17:29:38" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=4894 path="/api/v1/data/getBySN?sn=%EF%BC%9F" spendtime="3 ms" status=200
time="2024-01-30 17:31:55" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=307 path=/api/v1/users spendtime="4 ms" status=200
time="2024-01-30 17:36:32" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=POST datasize=29 path=/api/v1/project/add spendtime="9 ms" status=200
time="2024-01-30 17:36:36" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=1166 path=/api/v1/projects spendtime="2 ms" status=200
time="2024-01-30 17:36:55" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=595 path="/api/v1/project/getByName?name=%E7%AC%AC" spendtime="2 ms" status=200
time="2024-01-30 17:39:24" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=POST datasize=241 path=/api/v1/login spendtime="39 ms" status=200
time="2024-01-30 17:39:38" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=4894 path=/api/v1/data/get spendtime="4 ms" status=200
time="2024-01-30 17:39:49" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=369 path="/api/v1/data/getBySN?sn=%EF%BC%9F" spendtime="1 ms" status=200
time="2024-01-30 17:39:59" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=369 path="/api/v1/data/getBySN?sn=J" spendtime="3 ms" status=200
time="2024-01-30 17:40:04" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=369 path="/api/v1/data/getBySN?sn=%E6%97%A0" spendtime="1 ms" status=200
time="2024-01-30 17:48:41" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=POST datasize=241 path=/api/v1/login spendtime="41 ms" status=200
time="2024-01-30 17:49:20" level=info Agent="Apifox/1.0.0 (https://apifox.com)" Hostname=LAPTOP-FH0DMLT2 Ip="::1" Method=GET datasize=373 path="/api/v1/data/getBySN?sn=%E6%97%A0" spendtime="2 ms" status=200
